Brand,Name,Gender,Profile,Flex,Park,All_Mountain,Powder,Carving,Splitboard,Description_raw,Source_url,Desc_summary,Key_features,Rationale_hint
,Men's Burton Custom Camber Snowboard | Burton.com Winter 2026,mens,camber,0,0,0,0,0,0,"Shop the Men's Custom Camber Snowboard and other all mountain, park, and powder boards from Burton. Fast shipping.",https://www.burton.com/us/en/p/mens-burton-custom-camber-snowboard/W26-106881.html,"Shop the Men's Custom Camber Snowboard and other all mountain, park, and powder boards from Burton. Highlights: float, pop.","float, pop",balanced ride characteristics
,Women's Burton Yeasayer Camber Snowboard | Burton.com Winter 2026,womens,camber,0,0,0,0,0,0,"Shop the Women's Yeasayer Camber Snowboard and other all mountain, park, and powder boards from Burton. Fast shipping.",https://www.burton.com/us/en/p/womens-burton-yeasayer-camber-snowboard/W26-132221.html,"Shop the Women's Yeasayer Camber Snowboard and other all mountain, park, and powder boards from Burton. Highlights: float, pop.","float, pop",balanced ride characteristics
,Men's Burton Custom X Camber Snowboard | Burton.com Winter 2026,mens,camber,0,0,0,0,0,0,"Shop the Men's Custom X Camber Snowboard and other all mountain, park, and powder boards from Burton. Fast shipping.",https://www.burton.com/us/en/p/mens-burton-custom-x-camber-snowboard/W26-106891.html,"Shop the Men's Custom X Camber Snowboard and other all mountain, park, and powder boards from Burton. Highlights: float, pop.","float, pop",balanced ride characteristics
,Burton Counterbalance Camber Snowboard | Burton.com Winter 2026,unisex,camber,0,0,0,0,0,0,"Shop the Counterbalance Camber Snowboard and other all mountain, park, and powder boards from Burton. Fast shipping.",https://www.burton.com/us/en/p/burton-counterbalance-camber-snowboard/W26-302881.html,"Shop the Counterbalance Camber Snowboard and other all mountain, park, and powder boards from Burton. Highlights: float, pop.","float, pop",balanced ride characteristics
,Burton Yeasayer 26 Short Sleeve T-Shirt | Burton.com Winter 2026,unisex,,0,0,0,0,0,0,"Shop the Yeasayer 26 Short Sleeve T-Shirt and other graphic tees, logo tees, and shirts from Burton. Fast shipping.",https://www.burton.com/us/en/p/burton-yeasayer-26-short-sleeve-t-shirt/W26-303221.html,"Shop the Yeasayer 26 Short Sleeve T-Shirt and other graphic tees, logo tees, and shirts from Burton.",,balanced ride characteristics
,Women's Burton Oak Pullover Hoodie Sweatshirt | Burton.com Winter 2026,womens,,0,0,0,0,0,0,"Shop the Women's Oak Pullover Hoodie and other sweatshirts, pullovers, and hoodies from Burton. Fast shipping.",https://www.burton.com/us/en/p/womens-burton-oak-pullover-hoodie/W26-164451.html,"Shop the Women's Oak Pullover Hoodie and other sweatshirts, pullovers, and hoodies from Burton.",,balanced ride characteristics
,Women's Burton Oak Fleece Pants | Sweats & Loungewear | Burton.com Winter 2026,womens,,0,0,0,0,0,0,"Shop the Women's Oak Fleece Pants and other pants, shorts, and apparel from Burton. Fast shipping.",https://www.burton.com/us/en/p/womens-burton-oak-fleece-pants/W26-213641.html,"Shop the Women's Oak Fleece Pants and other pants, shorts, and apparel from Burton.",,balanced ride characteristics
,Burton Custom X 26 Short Sleeve T-Shirt | Burton.com Winter 2026,unisex,,0,0,0,0,0,0,"Shop the Custom X 26 Short Sleeve T-Shirt and other graphic tees, logo tees, and shirts from Burton. Fast shipping.",https://www.burton.com/us/en/p/burton-custom-x-26-short-sleeve-t-shirt/W26-303121.html,"Shop the Custom X 26 Short Sleeve T-Shirt and other graphic tees, logo tees, and shirts from Burton.",,balanced ride characteristics
,Burton Day Hiker 22L Backpack | Bags & Packs | Burton.com Winter 2026,unisex,,0,0,0,0,0,0,"Shop the Day Hiker 22L Backpack and other premium backpacks, technical packs, and gear bags from Burton. Fast shipping.",https://www.burton.com/us/en/p/burton-day-hiker-22l-backpack/W26-152861.html,"Shop the Day Hiker 22L Backpack and other premium backpacks, technical packs, and gear bags from Burton.",,balanced ride characteristics
,Burton Cinder Fleece Pants | Sweatpants & Loungewear | Burton.com Winter 2026,unisex,,0,0,0,0,0,0,"Shop the Cinder Fleece Pants and other pants, shorts, and apparel from Burton. Fast shipping.",https://www.burton.com/us/en/p/burton-cinder-fleece-pants/W26-238481.html,"Shop the Cinder Fleece Pants and other pants, shorts, and apparel from Burton.",,balanced ride characteristics
,Kids' Burton Crown Weatherproof Fleece Pullover | Burton.com Winter 2026,unisex,,0,0,0,0,0,0,"Shop the Kids' Crown Weatherproof Fleece Pullover and other youth sweatshirts, pullovers, and hoodies from Burton.",https://www.burton.com/us/en/p/kids-burton-crown-weatherproof-pullover-fleece/W26-221221.html,"Shop the Kids' Crown Weatherproof Fleece Pullover and other youth sweatshirts, pullovers, and hoodies from Burton.",,balanced ride characteristics
,Kids' Burton Oak Fleece Pants | Sweatpants & Loungewear | Burton.com Winter 2026,unisex,,0,0,0,0,0,0,"Shop the Kids' Oak Fleece Pants and other youth pants, shorts, and apparel from Burton. Fast shipping.",https://www.burton.com/us/en/p/kids-burton-oak-fleece-pants/W26-213631.html,"Shop the Kids' Oak Fleece Pants and other youth pants, shorts, and apparel from Burton.",,balanced ride characteristics
,Kids' Burton Day Hiker 12L Backpack | Bags & Packs | Burton.com Winter 2026,unisex,,0,0,0,0,0,0,"Shop the Kids' Day Hiker 12L Backpack and other premium youth backpacks, technical packs, and gear bags from Burton.",https://www.burton.com/us/en/p/kids-burton-day-hiker-12l-backpack/W26-302391.html,"Shop the Kids' Day Hiker 12L Backpack and other premium youth backpacks, technical packs, and gear bags from Burton.",,balanced ride characteristics
,Kids' Burton Classic Mountain Short Sleeve T-Shirt | Burton.com Winter 2026,unisex,,0,0,0,0,0,0,"Shop the Kids' Classic Mountain Short Sleeve T-Shirt and other youth graphic tees, logo tees, and shirts from Burton.",https://www.burton.com/us/en/p/kids-classic-mountain-short-sleeve-t-shirt/W26-179541.html,"Shop the Kids' Classic Mountain Short Sleeve T-Shirt and other youth graphic tees, logo tees, and shirts from Burton.",,balanced ride characteristics
,Burton Wheelie Gig Bag | Travel & Luggage | Burton.com Winter 2026,unisex,,0,0,0,0,0,0,"Shop the Wheelie Gig Bag and other boot bags, snowboard bags, and travel gear from Burton. Fast shipping.",https://www.burton.com/us/en/p/burton-wheelie-gig-bag/W26-109941.html,"Shop the Wheelie Gig Bag and other boot bags, snowboard bags, and travel gear from Burton.",,balanced ride characteristics
,Burton Gig Boot Tote Bag | Travel & Luggage | Burton.com Winter 2026,unisex,,0,0,0,0,0,0,"Shop the Gig Boot Tote Bag and other boot bags, snowboard bags, and travel gear from Burton. Fast shipping.",https://www.burton.com/us/en/p/burton-gig-boot-tote-bag/W26-302401.html,"Shop the Gig Boot Tote Bag and other boot bags, snowboard bags, and travel gear from Burton.",,balanced ride characteristics
,Burton Cordova Hat | Trucker Hats & Caps | Burton.com Winter 2026,unisex,,0,0,0,0,0,0,"Shop the Cordova Hat and other trucker hats, snapback hats, caps, and accessories from Burton. Fast shipping.",https://www.burton.com/us/en/p/burton-cordova-hat/W26-137361.html,"Shop the Cordova Hat and other trucker hats, snapback hats, caps, and accessories from Burton.",,balanced ride characteristics
